id,text,source,reply_screen_name,user_id,user_screen_name,user_location,followers_count,friends_count,listed_count,user_created_at,fav_counts,verified,user_lang,retweet_count,favorite_count,lang,sentiment,State
1054884153219440640,Panda Express and touch buttholes?,Twitter for iPhone,,1046202891025833984,burning_last,Left coast,611,528,4,2018-09-30 00:59:41,6481,False,en,0,2,en,0.0,CO
1054883705670565888,RT @Naimahhhhh: Y’all still out here acting like Panda Express is good?,Twitter for iPhone,,169279191,GottaLoveTS,Posted up in the 410,4066,1693,129,2010-07-21 23:53:25,5405,False,en,9,0,en,0.35,IN
1054878474815619073,I really don’t appreciate how Panda Express in the PSU rarely has string bean chicken. Fried chicken makes me feel… https://t.co/E7RYzSygAv,Twitter for iPhone,,2324353736,sharleegunther,"Springfield, MO",184,742,5,2014-02-02 20:57:04,12272,False,en,0,0,en,-0.175,MO
1054877931896496128,I wanna go to Panda Express,Twitter for iPhone,,2819024142,Toni_snider,"Cambridge, OH",584,381,3,2014-09-19 03:37:16,4375,False,en,0,3,en,0.0,OH
1054877817442189312,@Tricey_J_ Everything from Panda Express is trash,Twitter for iPhone,Tricey_J_,143216895,Official_TOE,Somewhere in New Orleans,1272,1057,2,2010-05-12 22:31:41,4228,False,en,1,0,en,0.0,IN
1054876934985924609,RT @Joner_Stoner: Nothing looks better than a full plate of Panda Express,Twitter for iPhone,,472361249,alexshapiro135,w/ melissaology,1571,530,21,2012-01-23 21:34:42,162385,False,en,1,0,en,0.425,ME
1054876094963294208,Why’d Panda Express try and charge me $19 for some shrimp and noodles lmao. Drove my fat ass away,Twitter for iPhone,,405503512,caleb_jjohnson,"Indianapolis, IN",183,97,3,2011-11-05 12:05:34,4590,False,en,0,4,en,0.6,IN
1054874325285691392,RT @yoitsmakayla01: Tbh I want Panda Express,Twitter for iPhone,,4061923033,kamrynnnnnnnnnn,"Santa Rosa, TX",206,159,0,2015-10-29 21:57:11,1786,False,en,12,0,en,0.0,TX
1054873409551765506,"@JaykMan80 None of the above, Panda Express will have to suffice ",Twitter for iPhone,JaykMan80,4831594797,jillblacksheep,"Omaha, NE",129,310,8,2016-01-21 03:42:17,3068,False,en,0,2,en,0.0,NE
1054872228599341057,"RT @SHSFalconClub: Tomorrow, October 23rd, is Staley Cheer Night at Panda Express from 4:00-9:00pm https://t.co/i5iFmjKNle",Twitter for iPad,,31043218,AdeleHN,"Phoenix, AZ",421,647,32,2009-04-14 03:13:11,29112,False,en,5,0,en,0.0,AZ
1054871945278189568,RT @erikam222: You know what would help with this chilly weather...coming to Panda Express (off campus) and saying you’re with @KftkShsu ht…,Twitter for iPhone,,874120328,12mariela_diaz,"Trinity, TX",886,354,2,2012-10-11 18:40:16,2301,False,en,3,0,en,-0.6,TX
1054870650219708416,Pipes broke at Panda Express so I officially hate rain.,Twitter for iPhone,,919398050,DougGuadian,"Kyle, TX",624,368,3,2012-11-01 16:42:57,17742,False,en,0,1,en,-0.8,TX
1054870164141944832,RT @JoshClark_5: Panda Express in Zanesville was a major power move,Twitter for Android,,302389750,macdaddyjr22,"Zanesville, OH",433,628,2,2011-05-21 03:22:49,3220,False,en,6,0,en,0.0625,OH
1054869533222158336,"I'm at Panda Express in Santa Ana, CA https://t.co/tCMMrEn31v",Foursquare,,17106246,lucky134me,"Fountain Valley, CA",341,810,9,2008-11-01 22:20:51,1248,False,en,0,0,en,0.0,CA
1054869409901174784,@Smooth_Orator @therealogkb Panda Express don’t count or wat,Twitter for iPhone,Smooth_Orator,2251532019,GodGrizzy,"WarmWinter, Tx",365,1881,3,2013-12-30 07:27:34,4291,False,en,0,0,en,0.0,TX
1054868318933446657,@hitmejungkook Sprite and panda express,Twitter for iPhone,hitmejungkook,755861624028852225,jurassicjeon,"Houston, TX",629,610,2,2016-07-20 20:27:09,29285,False,en,0,0,en,0.0,TX
1054866500505370624,@TheBBHomie1 Lucky! I LOVE Panda Express,Twitter for iPhone,TheBBHomie1,828806472846958594,phan_trash_69_,The Black Parade,159,338,0,2017-02-07 03:23:56,11180,False,en,0,0,en,0.4583333333333333,PA
1054865865219457024,"Man today has been a PRODUCTIVE day  
Now to celebrate with some Panda Express ",Twitter for iPhone,,787867340574568448,TheBBHomie1,"Grand Rapids, MI",40016,433,281,2016-10-17 04:06:26,4995,True,en,0,25,en,0.0,MI
1054864589274247169,Panda Express be putting crack in they orange chicken I swear,Twitter for iPhone,,797661228,CognacPapi13,"Houston, TX",350,164,6,2012-09-02 06:32:45,15869,False,en,3,1,en,-0.6,TX
1054864030500904960,All I’m thinking about is this Panda Express I’m about to eat after work.,Twitter for iPhone,,872126087547027457,captainmorgs29,"Pittsburgh, PA",295,389,0,2017-06-06 16:20:37,1703,False,en,0,3,en,0.0,PA
1054862195958444032,Panda Express is literally soo good omg,Twitter for iPhone,,1651074146,fxckitskierra,"Virginia, USA",305,270,1,2013-08-06 19:36:55,16690,False,en,0,1,en,0.7,IA
1054861770010050560,@IceRefuse McDonald's is for poor people... but im poor and i order pizza... but i voted panda express because its too expensive for me,Twitter Lite,IceRefuse,1321384123,Gr8Masta,"Tampa, FL",94,148,1,2013-04-01 23:43:59,1389,False,en,0,1,en,-0.43333333333333335,FL
1054861357391196160,ok nvm I'm going to panda express,Twitter for Android,Robonyan_USA,787802319878365185,Robonyan_USA,"Long Beach, CA",436,602,16,2016-10-16 23:48:04,88671,False,en,0,2,en,0.5,CA
1054858791362220033,@IceRefuse what’s Panda Express,Twitter for iPhone,IceRefuse,1395811016,LucidxFlynn,"Pennsylvania, USA",20861,441,38,2013-05-01 23:35:56,29371,False,en,3,1,en,0.0,IA
1054857679993110528,RT @choir_smhs: Don’t forget about our first fundraiser event at Panda Express tonight! Show this flyer at the register or use code 255017…,Twitter for iPhone,,2947290900,aliciacruz_16,"San Marcos, TX",441,339,3,2014-12-29 00:38:49,6192,False,en,8,0,en,0.3125,MA
1054857391701979137,Panda Express May be a chain but at least they don’t put diced peppers on everything and they got some killer Black… https://t.co/0BZ1VkCGBm,Twitter for iPhone,,2575401450,SpoilersSpoils,"North Carolina, USA",86,473,0,2014-06-18 20:03:29,7230,False,en,0,1,en,-0.3,CA
1054856734278176768,"I just ate Panda Express yesterday, but I’m still down for some today again ",Twitter for iPhone,,1609146320,maylleleal,"Texas, USA ☀️",535,266,8,2013-07-20 22:12:23,19959,False,en,0,1,en,-0.1555555555555556,TX
