latino,state
0.040999999999999995,Alabama
0.069,Alaska
0.309,Arizona
0.07200000000000001,Arkansas
0.389,California
0.213,Colorado
0.157,Connecticut
0.092,Delaware
0.11,District of Columbia
0.249,Florida
0.09300000000000001,Georgia
0.10400000000000001,Hawaii
0.12300000000000001,Idaho
0.17,Illinois
0.068,Indiana
0.057,Iowa
0.11599999999999999,Kansas
0.034,Kentucky
0.049,Louisiana
0.016,Maine
0.098,Maryland
0.114,Massachusetts
0.049,Michigan
0.052000000000000005,Minnesota
0.028999999999999998,Mississippi
0.04,Missouri
0.036000000000000004,Montana
0.106,Nebraska
0.285,Nevada
0.035,New Hampshire
0.2,New Jersey
0.485,New Mexico
0.19,New York
0.092,North Carolina
0.035,North Dakota
0.036000000000000004,Ohio
0.10300000000000001,Oklahoma
0.128,Oregon
0.07,Pennsylvania
0.149,Rhode Island
0.055,South Carolina
0.037000000000000005,South Dakota
0.052000000000000005,Tennessee
0.391,Texas
0.138,Utah
0.02,Vermont
0.09,Virginia
0.124,Washington
0.015,West Virginia
0.067,Wisconsin
0.096,Wyoming
0.987,Puerto Rico
