ob,state
0.301,Alabama
0.273,Alaska
0.233,Arizona
0.281,Arkansas
0.231,California
0.21,Colorado
0.20800000000000002,Connecticut
0.259,Delaware
0.221,District of Columbia
0.233,Florida
0.275,Georgia
0.207,Hawaii
0.24600000000000002,Idaho
0.253,Illinois
0.275,Indiana
0.263,Iowa
0.258,Kansas
0.284,Kentucky
0.295,Louisiana
0.237,Maine
0.252,Maryland
0.209,Massachusetts
0.27699999999999997,Michigan
0.248,Minnesota
0.344,Mississippi
0.27399999999999997,Missouri
0.217,Montana
0.265,Nebraska
0.23600000000000002,Nevada
0.23600000000000002,New Hampshire
0.22899999999999998,New Jersey
0.233,New Mexico
0.235,New York
0.271,North Carolina
0.259,North Dakota
0.26899999999999996,Ohio
0.281,Oklahoma
0.25,Oregon
0.257,Pennsylvania
0.214,Rhode Island
0.292,South Carolina
0.261,South Dakota
0.29,Tennessee
0.272,Texas
0.218,Utah
0.21100000000000002,Vermont
0.252,Virginia
0.245,Washington
0.306,West Virginia
0.255,Wisconsin
0.24,Wyoming
